Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1726   DA 0003C000 DwmGetRemoteSessionOcclusionState
       1727   DB 0003C010 DwmKernelShutdown
       1728   DC 0003C020 DwmKernelStartup
       1729   DD 0005C350 DwmLockScreenUpdates
       1730   DE 0003C030 DwmValidateWindow
       1731   DF 00025EA0 EditWndProc
       1732   E0 00039870 EmptyClipboard
       1733   E1 0003C040 EnableChildWindowDpiMessage
       1734   E2 000207E0 EnableMenuItem
       1735   E3 0003C060 EnableMouseInPointer
       1736   E4 00084D90 EnableScrollBar
       1737   E5 00087AD0 EnableSessionForMMCSS
       1738   E6 000329E0 EnableWindow
       1739   E7 00033600 EndDeferWindowPos
       1740   E8 00038B60 EndDeferWindowPosEx
       1741   E9 00029E70 EndDialog
       1742   EA 0003C090 EndMenu
       1743   EB 00038A90 EndPaint
       1744   EC 0003D3D0 EndTask
       1745   ED 00083240 EnterReaderModeHelper
       1746   EE 00035FC0 EnumChildWindows
       1747   EF 0005C3C0 EnumClipboardFormats
       1748   F0 0005AC90 EnumDesktopWindows
       1749   F1 0005ACC0 EnumDesktopsA
       1750   F2 0005ACE0 EnumDesktopsW
       1751   F3 00013260 EnumDisplayDevicesA
       1752   F4 0001FA60 EnumDisplayDevicesW
       1753   F5 00038DA0 EnumDisplayMonitors
       1754   F6 00030E60 EnumDisplaySettingsA
       1755   F7 00030E90 EnumDisplaySettingsExA
       1756   F8 0001EFC0 EnumDisplaySettingsExW
       1757   F9 0001EF90 EnumDisplaySettingsW
       1758   FA 0005AD00 EnumPropsA
       1759   FB 0005AD20 EnumPropsExA
       1760   FC 0005AD40 EnumPropsExW
       1761   FD 0005AD60 EnumPropsW
       1762   FE 00035F90 EnumThreadWindows
       1763   FF 0005AD80 EnumWindowStationsA
       1764  100 0005ADA0 EnumWindowStationsW
       1765  101 00033A70 EnumWindows
       1766  102 0002DEE0 EqualRect
       1767  103 00086A20 EvaluateProximityToPolygon
       1768  104 000114B0 EvaluateProximityToRect
       1769  105 00038E00 ExcludeUpdateRgn
       1770  106 000694C0 ExitWindowsEx
       1771  107 000240C0 FillRect
       1772  108 00032910 FindWindowA
       1773  109 00089B90 FindWindowExA
       1774  10A 00034120 FindWindowExW
       1775  10B 0001F180 FindWindowW
       1776  10C 0005C3E0 FlashWindow
       1777  10D 0003C0B0 FlashWindowEx
       1778  10E 00031F60 FrameRect
       1779  10F 0006B7F0 FreeDDElParam
