Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    568B167A time date stamp Tue Jan  5 01:03:54 2016
        0.00 version
        1000 ordinal base
        1001 number of functions
         865 number of names

    ordinal hint RVA      name

       1534  209 000D77C0 GetBrushAttributes
       1535  20A 000A7C30 GetBrushOrgEx
       1536  20B 000B9520 GetCOPPCompatibleOPMInformation
       1537  20C 000B9530 GetCertificate
       1538  20D 000B9540 GetCertificateByHandle
       1539  20E 000B9550 GetCertificateSize
       1540  20F 000B9560 GetCertificateSizeByHandle
       1541  210 000D7D70 GetCharABCWidthsA
       1542  211 000D7DA0 GetCharABCWidthsFloatA
       1543  212 000D7DD0 GetCharABCWidthsFloatW
       1544  213 0008CEE0 GetCharABCWidthsI
       1545  214 000B2430 GetCharABCWidthsW
